HCO Name,Address,Contact,Accreditation Number (Acc. No.),Accreditations / Certifications
Kare Partners Heart Center,"3314 Sector 19-D , Chandigarh , Chandigarh, Chandigarh, 160019",NA,HOS/2025/E2674,Empaneled
Ananta Ayush Hospital,"102, Sanjay Nagar - A, Joshi Marg, Jhotwara, Jaipur - 302012, Jhotwara, Jaipur, Jaipur, Rajasthan, India, 302012",NA,AH-2025-0390,Accredited
Adwaita Cancer Hospital & ICU,"6th floor, Sahaj icon, Near Prime Arcade, Anand Mahal Road, Adajan, Surat, Surat, Gujarat, 395009",NA,SHCO-2025-1339,Accredited
Altis Multispeciality Hospital,"332 A & B, LAJPAT NAGAR, JALANDHAR, JALANDHAR, Punjab, India, 144001",NA,SHCO-2020-0371,Accredited
Apex Hospital,"7, Kasturba Nagar,, Near Bajaj B.ED. College & CMPDI, Jaripatka,, NAGPUR, NAGPUR, Maharashtra, India, 440014",NA,PESHCO-2019-1956,Certified
Aravind Eye Hospital,"371, Peryiakualam Road, Theni, Theni, Tamil Nadu, 625531",Visit Website +91 4546 252 658,PESHCO-2024-9902,Certified
ASARFI HOSPITAL (A UNIT OF ASAP IMPACT PRIVATE LIMITED),ASARFI HOSPITAL (A UNIT OF ASAP IMPACT PRIVATE LIMITED) Ballia Uttar Pradesh,Visit Website +91 78083 68888,HOS/2022/E0284,Empaneled
Balaji Dental Care,"H.No 2065, Old Anaj Mandi, Narela, North West Delhi, Delhi, India, 110040",NA,D-2026-0634,Accredited
Bhardwaj Hospital,"VIKRAM COLONY, RAM GHAT ROAD, ALIGARH, ALIGARH, Uttar Pradesh, India, 202001",+91 88022 09267,SHCO-2023-0835,Accredited
BRAR EYE CENTRE,"5-a, Sarabha Nagar, Ludhiana, Punjab, 141001 , Ludhiana, Punjab, 141001",NA,EYE/2025/E0576,Empaneled
DC Path Lab & Imaging Center Pvt. Ltd.,"|||- A/2, Vishanu Garden, New Delhi - 110018, Delhi, New Delhi, South West, Delhi, India, 110018",+91 88001 14416,MIS-2023-0193,Accredited
DR PARAMJIT EYE CARE CENTRE,"OPP MANSAHIA COLONY, KISHANPURA ROAD SANGRUR, Sangrur, Punjab, 148001",+91 97800 76701,EYE/2023/E0299,Empaneled
Dr Rela Institute & Medical Centre (A Unit of JR Super Speciality Hospitals Pvt. Ltd.),"No 7, CLC Works Road, Shankar Nagar, Chromepet, Chennai , Chengalpattu, Tamil Nadu, India, 600044",NA,N-2026-0308,Certified
Dr. D. Y. Patil Hospital And Research Centre,"Sector 5, Nerul, Navi Mumbai, Maharashtra, 400706",Visit Website +91 22 2773 6901,H-2021-0846,Accredited
"Dr. M. L. Dhawale Memorial Trust Hospital, Palghar","Opposite ST workshop Palghar Boisar Road Palghar, Opposite ST workshop Palghar Boisar Road Palghar, Palghar, Palghar, Maharashtra, India, 401404",Visit Website +91 77200 16357,AH-2018-0038,Accredited
DR. VIJAY & B. LAL IMAGING AND DIAGNOSTIC CENTER,DR. VIJAY & B. LAL IMAGING AND DIAGNOSTIC CENTER Sikar Rajasthan,Visit Website +91 88662 84260,LAB/2022/E0025,Empaneled
"Eden Dental and Maxillo Facial Hospital, Nagarcoil","Eden Dental and Maxillo Facial Hospital, Nagarcoil Kanyakumari Tamil Nadu",Visit Website +91 94435 53594,2017-1036,Empaneled
Eye-Q Vision pvt limited,Eye-Q Vision pvt limited Sonepat Haryana,Visit Website +91 80 4485 2774,2022-2095,Empaneled
G K SUPER SPECIALITY HOSPITAL,"LOHARU ROAD CHAKHI DADRI HARYANA , Charkhi Dadri , Haryana, 127306",NA,HOS/2025/E3508,Empaneled
HealthMaP Diagnostics Private Limited,"Patliputra Medical college and Hospital, Ground Floor Radiology Department, Saraidhela BCCL Township, Dhanbad, Jharkhand, India, 826001",+91 72800 83017,MIS-2021-0124,Accredited
Institutional Ethics Committee - Apollo Gleneagles Hospitals - (Earlier Certificate issued in the Name of Institutional Ethics Committee (IEC) Apollo Multispeciality Hospitals Limited),"58 Canal Circular Road, Kadapara, Kolkata, Kolkata, West Bengal, India, 700054",Visit Website +91 80 6297 2764,EC-CT-2018-0061,Accredited
Institutional Ethics Committee - Clinical Studies - Apollo Hospitals Enterprise Limited,"Apollo Health City, Film Nagar, Hyderabad, Hyderabad, Telangana, India, 500033",Visit Website,EC-CT-2018-0037,Accredited
Institutional Ethics Committee - Clinical Studies - Apollo Hospitals Enterprise Limited - (Earlier Certificate issued in the Name of -Institutional Ethics Committee- Clinical Studies ( IECCS) Apollo Hospitals International Ltd.),"Plot no 1a, GIDC Estate, Bhat, Gandhinagar, Gandhinagar, Gujarat, India, 382428",NA,EC-CT-2018-0024,Accredited
Institutional Ethics Committee - Sumandeep Vidyapeeth - (Earlier Certificate issued in the Name of Institutional Ethics Committee Sumandeep Vidyapeeth Deemed to be University),"Waghodia Road, At Post Piparia, Piparia, Waghodia, Vododara, Gujarat, India, 391760",NA,EC-CT-2019-0079,Accredited
J B Gupta's Hospital,"CIRCULAR ROAD, BHIWANI, BHIWANI, BHIWANI, Haryana, India, 127021",Visit Website +91 92153 76262,SHCO-2020-0366,Accredited
James Long Clinic (P) Ltd.,"33, JAMES LONG SARANI, KOLKATA, PIN- 700034, Kolkata, West Bengal, 700034",Visit Website +91 83369 57533,PESHCO-2024-9965,Certified
Jaspal Nursing Home,"69 , Model town , Ambala City , Ambala, Haryana, India, 134003",Visit Website +91 93065 47394,SHCO-2021-0377,Accredited
Jawahar Eye & ENT Hospital & Laser Centre (A Unit of Jawahar Eye Hospital Pvt. Ltd.),"194/ 15 DELHI ROAD,, OPPOSITE ROADWAYS BUS STAND, MEERUT CANT, Meerut, Uttar Pradesh, India, 250001",Visit Website,ECO-2020-0141,Accredited
Jay Kidney Laser & Laparoscopy Centre,Jay Kidney Laser & Laparoscopy Centre Salem Tamil Nadu,NA,PESHCO-2026-11832,Certified
Kamla Devi Hospital,"KHASRA NO-87, MAUZA-KAULAKHA,TAL SAMERI, DEORI ROAD,AGRA,UTTAR PRADESH, Agra, Uttar Pradesh, 282001",NA,PESHCO-2025-11463,Certified
KIMS Manavata Hospitals Pvt. Ltd.,"Mumbai Agra Road, Renuka Nagar, Nashik, Nashik, Maharashtra, 422001",Visit Website,PESHCO-2025-10830,Certified
Krsnaa Diagnostics Ltd Sub District Hospital,Krsnaa Diagnostics Ltd Sub District Hospital Shahapur Maharashtra,NA,MIS-2026-0389,Accredited
Kurukshetra Nursing Home,"PIPLI ROAD KURUKSHETRA, NEAR HOTEL 9TH PLANET, KURUKSHETRA, KURUKSHETRA, Haryana, India, 136118",+91 89292 32132,SHCO-2022-0554,Accredited
L V Prasad Eye Institute,"11-113/1, GMR Varalakshmi campus, Hanumanthawaka Junction, Visakhapatnam, Visakhapatnam, Andhra Pradesh, India, 530040",Visit Website +91 891 671 4066,ECO-2019-0089,Accredited
"L V Prasad Eye Institute, MTC Campus","Mithu Tulsi Chanrai Campus, PLot No. 347(P), Patia, Bhubaneswar, Khurda, Orissa, India, 751024",NA,ECO-2019-0092,Accredited
M S Memorial Netralaya,"NIRAHU KA PURA, WARSI NAGAR, DILDARNAGAR, GHAZIPUR, Ghazipur, Uttar Pradesh, 232326",Visit Website +91 80048 00699,PESHCO-2025-10692,Certified
MAHAKOSHAL HOSPITAL PVT LTD,"opp gate no 3 wright town stadium, Jabalpur, Madhya Pradesh, 482002",NA,HOS/2025/C2525,Empaneled
"Maharaja Agrasen Mata Narayani Devi Prakritik Chiktasha Kendra (A Unit of Maharaja Agrasen Hospital Charitable Trust), East Punjabi Bagh","32 A, Bhagwan Das Nagar, East Punjabi Bagh, Punjabi Bagh, East Delhi, Delhi, India, 110026",NA,PC-2025-0133,Accredited
Mahender Singh Multispeciality Hospital,"MORADABAD NOORPUR ROAD, NEAR RAM LEELA GROUND, OPP SBI BANK, BIJNOR, POST BIJNOR, PS KOTWALI, CITY BIJNOR, BIJNOR, UTTAR PRADESH - 246701, Bijnor, Uttar Pradesh, 246701",NA,PESHCO-2025-10453,Certified
Manojivan Ayurvedic Hospital,"94- sector -D, Shreenathpuram Near Marble Circle , Ladpura kota, Kota, Rajasthan, India, 324010",NA,AH-2025-0406,Accredited
Maruti Hospital (A Unit of Anjana Medicare Service Pvt. Ltd.),"No:95 ,Pattabiraman Street, Tennur., No:95 ,Pattabiraman Street, Tennur., Trichy, Trichy, Tamil Nadu, India, 620017",Visit Website +91 84896 96111,N-2024-0245,Certified
Marwar Hospital,"K. N - 1588/1, Plot [No]. 1-2 Near ONGC Office, Main Mandore Road Jodhpur - 342304, Rajasthan, Jodhpur, Rajasthan, 342304",+91 291 255 1000,H-2023-1204,Accredited
Medical Sathi Hospital,"PLOT NO. 1 CHANDI BAGH OPP. SHRADHA MANDIR SCHOOL MAIN MASTER ROAD, SEC - 88 GREATER FARIDABAD 121002 H.R., Faridabad, Haryana, 121002",Visit Website +91 93116 96198,PESHCO-2024-9741,Certified
Narayana Superspeciality Hospital,"120/1, ANDUL ROAD, JUNCTION OF 2ND HOOGHLY BRIDGE, HOWRAH, HOWRAH, West Bengal, India, 711103",Visit Website +91 80 6215 4783,N-2024-0244,Certified
Rajiv Gandhi Cancer Institute & Research Centre,"D-18, SECTOR-5, ROHINI, ROHINI, NORTH WEST, Delhi, India, 110085",Visit Website,N-2016-0029,Certified
Ramesh Bharathi Healthcare Private Limited - (Earlier Certificate issued in the Name of Tara Hospital),"TARA HOSPITAL , GANAPATHI HIGH SCHOOL ROAD , MANGALORE , Mangalore, Karnataka, 575001",Visit Website +91 824 242 7319,PESHCO-2022-5875,Certified
Rhythm Heart Institute,"Station Road, GLK Tower, Nr. S.T Bus Stand, Dahod, Dahod, Gujarat, India, 389151",NA,SHCO-2021-0534,Accredited
Royal Care Super Speciality Hospital Ltd.,Royal Care Super Speciality Hospital Ltd. Coimbatore Tamil Nadu,Visit Website +91 422 400 1000,2017-1173,Empaneled
Shree Balaji Hospital,"CHC ROAD, BARWALA , DISTRICT HISSAR, Vil: Barwala, Teh: Hissar, Distt: Hissar, State: Haryana., Hisar, Haryana, 125121",NA,PESHCO-2024-9174,Certified
Shree Hari Hospital,"31,ashoka colony, ashoka colony, karnal, karnal, Haryana, India, 132001",NA,SHCO-2021-0483,Accredited
Shri Ramakrishna Hospital,"Near Hotel sheron Sastry circle Kundapura -5762O1 DIST. UDUPI, Udupi, Karnataka, 576201",NA,PESHCO-2024-9976,Certified
Sir Ganga Ram Kolmet Hospital,"7B, PUSA ROAD, KAROLBAGH, NEW DELHI, NEW DELHI, Delhi, India, 110005",Visit Website +91 11 4509 9999,SHCO-2021-0528,Accredited
Sonakshi Children Hospital,Sonakshi Children Hospital Hisar Haryana,NA,SHCO-2021-0446,Accredited
Valentis Cancer Hospitall,"MUSSOORIE, MAWANA ROAD, MEERUT, MEERUT, Uttar Pradesh, India, 250001",Visit Website +91 75992 21100,SHCO-2021-0489,Accredited
Verma Hospital,"Meerakot Chownk, Khairabad Road Amritsar - 143001, Punjab, Amritsar, Punjab, 143001",+91 98725 99801,SHCO-2023-0735,Accredited
Vidhi Diagnostics,"L 86, SWATANTRA SENANI NAGAR, OPP. INDIAN OIL PETROL PUMP, NEAR AKHBARNAGAR CIRCLE, NAVA VADAJ, AHMEDABAD, GUJARAT, INDIA, 380013., Ahmedabad, Gujarat, 380013",NA,LAB/2025/C0324,Empaneled
Vision Care and Research Centre,"E7/378, ARERA COLONY, HUZUR, BHOPAL, Madhya Pradesh, India, 462016",Visit Website +91 755 246 8191,ECO-2019-0082,Accredited
"– Dahiya Eye and Meternity Hospital, Near ITI Chowk, Old DC Road","– Dahiya Eye and Meternity Hospital, Near ITI Chowk, Old DC Road Sonipat Haryana",NA,2014-0411,Empaneled
"""Dr Tetarwals Apex Hospital, 1/122, Opp Ambedkar Bhawan, Mandawa Mode, Jhunjhunu""","""Dr Tetarwals Apex Hospital, 1/122, Opp Ambedkar Bhawan, Mandawa Mode, Jhunjhunu"" Jhunjhunu Rajasthan",Visit Website +91 95303 95577,2021-2009,Empaneled
"""Janta Eye And Maternity Hospital, Ratina Road, Near Kainchi Chowk, Tohana, Haryana""","""Janta Eye And Maternity Hospital, Ratina Road, Near Kainchi Chowk, Tohana, Haryana"" Tohana Haryana",+91 94668 03877,2021-2004,Empaneled
"""Maa Janki Hospital & Research center Pvt. Ltd., Bairiya Golambar","""Maa Janki Hospital & Research center Pvt. Ltd., Bairiya Golambar Muzaffarpur Bihar",NA,2021-1610,Empaneled
"""Nalanda Bone & Spine Center Pvt Ltd., NH-20, Bari Pahari, Biharsharif","""Nalanda Bone & Spine Center Pvt Ltd., NH-20, Bari Pahari, Biharsharif Nalanda Bihar",NA,2021-1611,Empaneled
"""Nidan Hospital (A unit of Umera Healthcare Pvt. Ltd.), Harnichak More, Anishabad","""Nidan Hospital (A unit of Umera Healthcare Pvt. Ltd.), Harnichak More, Anishabad Patna Bihar",NA,2021-1615,Empaneled
"""Sri Guru Ramdass Charitable Hospital, Gurudwara Shaheedan Sahib","""Sri Guru Ramdass Charitable Hospital, Gurudwara Shaheedan Sahib Amritsar Punjab",Visit Website +91 183 253 5039,2016-0863,Empaneled
"""Varsha"" Falakata Health Care Pvt. Ltd.","""Varsha"" Falakata Health Care Pvt. Ltd. Alipurduar West Bengal",NA,PEH-2026-3225,Certified
(A Unit of Spanv Medisearch Lifesciences Pvt. Ltd.),(A Unit of Spanv Medisearch Lifesciences Pvt. Ltd.) Nagpur Maharashtra,NA,2021-1602,Empaneled
21st Century Fertility Centre,"'NIMAAYA' 3rd floor , Jash Bryant , Opp Old RTO , Ring Road , Surat , Surat, Gujarat, 395001",Visit Website +91 261 611 9900,PESHCO-2020-2761,Certified
24x7 Rudraksha Multispeciality Hospitals,"PLOT-344,MANDAKINI HOUSING SOCIETY, 80 FET ROAD,KOLAR BHOPAL, Bhopal, Madhya Pradesh, 462042",NA,PEH-2021-1699,Certified
"2S Wellness and Research Centre Pvt. Ltd. (Balaji Hospital), #100 Meg Nagar, Near Ashok Udhyan Pal Link Road","2S Wellness and Research Centre Pvt. Ltd. (Balaji Hospital), #100 Meg Nagar, Near Ashok Udhyan Pal Link Road Jodhpur Rajasthan",NA,2017-0709,Empaneled
32 Dental and Implant Centre,"D-223 Shop No. 59-60 Ground Floor, Laxmi Chamber, Adjacent to CGHS Dispensary, Laxmi Nagar, East Delhi, Delhi, 110092",NA,DEN/2026/C1043,Empaneled
32 DENTAL HOUSE,"PLOT NO. 1, TOP FLOOR, VIPIN GARDEN EXTN. UTTAM NAGAR NEW DELHI, West Delhi, Delhi, 110059",NA,DEN/2024/C0509,Empaneled
32 Dentz Clinic,"UGF 39, Omaxe Arcade, Ansal Golf Link 1. Omega 1, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, India, 201310",+91 82105 61224,D-2021-0122,Accredited
32 Pearls Multispeciality Dental Clinic,"5R-1A , B.K CHOWK, BHARTI GUPTA BUILDING, FARIDABAD, FARIDABAD, Haryana, India, 121001",Visit Website,D-2023-0357,Accredited
32 Pearls Multispeciality Dental Clinic & Implant Centre,"311, 312, 3RD FLOOR, SHANTI ARCADE, OPPOSITE JAYMANGAL BRTS BUS STOP, ABOVE SBI BANK, NARANPURA, AHMEDABAD, AHMEDABAD, Gujarat, India, 380013",Visit Website +91 94995 57474,D-2018-0065,Accredited
"32 Pearls Multispeciality Dental, C 303,304 Patkarpuram, Gomtinagar","32 Pearls Multispeciality Dental, C 303,304 Patkarpuram, Gomtinagar Lucknow Uttar Pradesh",NA,2021-1598,Empaneled
"32 Smile Stone Dental Clinic, 3 Ring Road, opposite Maharani Bagh, Kilokari","32 Smile Stone Dental Clinic, 3 Ring Road, opposite Maharani Bagh, Kilokari Delhi Delhi",NA,2015-0141,Empaneled
32 SMILEZ HEALTHCARE CENTRE,32 SMILEZ HEALTHCARE CENTRE Chandigarh Chandigarh,NA,DEN/2025/E0376,Empaneled
"32 Smilez Healthcare Centre, SCO 373, Ist Floor, Sector - 32D","32 Smilez Healthcare Centre, SCO 373, Ist Floor, Sector - 32D Chandigarh Punjab",Visit Website +91 88720 04032,2012-0067,Empaneled
7Med Dialysis Centre,"Near Rampul, Vaisno Devi Marg, F Block, Lajpat Nagar, Delhi, India, 110024",Visit Website +91 79850 32260,CD-2025-0015,Certified
7x Multispecialty Hospital,"4th Floor , 7x Corridor , Opp.Motilal Vin Baug , Soneri Mahel Road,Nr Panchbatti,Bharuch, Bharuch, Gujarat, 392001",NA,SHCO-2025-1296,Accredited
A and B International Hospital,"Pokhara -02, Bindabasini",NA,HOS/2023/E1065,Empaneled
A and U Tibbia Collage and Hospital,A and U Tibbia Collage and Hospital New Delhi Delhi,NA,EAH-2024-0065,Certified
A B EYE INSTITUTE,"S K EYE HOSPITAL ,NEAR RAILWAY STATION, STATION ROAD, DIDWANA, DIST. NAGAUR (RAJASTHAN) , Patna, Bihar, 341303",NA,EYE/2023/C0305,Empaneled
A B Eye Institute,"Rd Number 12, near Bahadurpur Gumti, Rajendra Nagar, Patna, Bihar 800016, Patna, Bihar, 800016",Visit Website +91 96618 13434,PESHCO-2022-6775,Certified
A B Eye Institute,A B Eye Institute Patna Bihar,Visit Website +91 96618 13434,EYE/2022/E0020,Empaneled
A B LASER EYE CENTRE,"3RD FLOOR, EMBARK PLAZA, SEC-4, NOIDA EXTENSION, Ghaziabad, Uttar Pradesh, 201009",NA,EYE/2023/C0247,Empaneled
A K Dental Superspeciality Clinic,"142-143, Vardhman Star City Mall, Sector-7, South West Delhi, Delhi, 110075",NA,DEN/2025/C0592,Empaneled
A K Dental Superspeciality Clinic,"142-143, Vardhman Star City Mall, Sector-7, South West Delhi, Delhi, 110075",NA,DEN/2025/E0357,Empaneled
A K Eye Hospital,"NEAR HOTEL SRIHARI WARD NO. 3CHORGALIYA ROAD, SITARGANJ (U.K)-262405, Udham Singh Nagar, Uttarakhand, 262405",NA,PESHCO-2024-9494,Certified
A K Heart Hospital (A Unit of BK Hospicare LLP),"FIRST AND SECOND FLOOR , ABOVE PAHAL HOSPITAL, BEHIND CAPPLE HOTEL, NEAR AROMA CIRCLE ,PALANPUR,GUJARAT-385001, Banaskantha, Gujarat, 385001",NA,SHCO-2025-1274,Accredited
A M Medical Centre Private Limited,"97A, SOUTHERN AVENUE, KOLKATA, Pin- 700029, Kolkata, West Bengal, 700029",Visit Website +91 33 6622 8000,PESHCO-2025-10938,Certified
A One Dental Hospital,"JAWAHAR NAGAR, SALUJA ROAD, OPP. MORDHWAJ HOSPITAL, BHARATPUR, BHARATPUR, Rajasthan, India, 321001",+91 77930 89684,D-2025-0513,Accredited
"A One Diagnostic Centre, Opp. GGS Medical College , OPD Gate, Sadiq Road","A One Diagnostic Centre, Opp. GGS Medical College , OPD Gate, Sadiq Road Faridkot Punjab",NA,2021-1894,Empaneled
A One Hospital,"A ONE HOSPITAL PADAHA MOHADDIPUR, GORAKHPUR,U.P.(273012), Gorakhpur, Uttar Pradesh, 273012",Visit Website +91 98389 59598,PESHCO-2025-10770,Certified
A One Hospital (A Unit of Akhila Memorial Hospitals),"DOOR NO - 2-2-46 , SY.NO.598, BONDILIPURAM MAIN ROAD , NEAR RAMA MANDIR , SRIKAKULAM , Srikakulam, Andhra Pradesh, 532001",NA,PEH-2025-2990,Certified
A P Hospital,A P Hospital Amritsar Punjab,NA,HOS/2024/E2034,Empaneled
A PLUS DENTAL CLINIC AND IMPLANT CENTRE,"9/15, MG-1 , VED Homes service line , near JD Academy School sec -3 , Rajendra nagar , sahibabad, Ghaziabad, Uttar Pradesh, 201005",NA,DEN/2025/E0392,Empaneled
A Plus Dental Clinic and Implant Centre,"Jawai Bandh Road, Near Natraj Garden, Sumerpur , Pali , Ghaziabad, Uttar Pradesh, 306902",NA,DEN/2025/C0578,Empaneled
A S KIDNEY HOSPITAL AND STONE CENTER PVT LTD,"RZ-70A DASHRATH PURI DABRI PALAM ROAD ADJOINING JINDAL PUBLIC SCHOOL NEW DELHI-110045 , South West Delhi, Delhi, 110045",NA,HOS/2023/C0503,Empaneled
A S Lifeline Cancer Care,"A 3/9, Sector-5, Rohini, New Delhi-110085, North West Delhi, Delhi, 110085",NA,PESHCO-2024-9504,Certified
A Square Hospital,"PLOT NO 20/21, AWASTHI SQUARE, OPPOSITE HALDIRAM, NAGPUR , Nagpur, Maharashtra, 440013",Visit Website +91 91301 23423,PEH-2024-2745,Certified
A to Z Speciality Hospital,A to Z Speciality Hospital Thanjavur Tamil Nadu,NA,PEH-2026-3186,Certified
A V Eye Hospital & Diagnostics,"A V EYE HOSPITAL & DIAGNOSTICS 711, MODI HOSPITAL ROAD, 2ND STAGE , MAHALAKSHMIPURAM, BANGALORE -560086 , KARNATAKA, Bangalore, Karnataka, 560086",NA,PESHCO-2023-7455,Certified
A-Care Orthopaedic & General Hospital,"G-1, G-2, GIRIRAJ TOWER, SAI BABA NAGAR, MIRA BHAYANDER ROAD, MIRA ROAD (EAST), THANE - 401107, Thane, Maharashtra, 401107",Visit Website +91 74004 94711,PESHCO-2022-5831,Certified
"A-One Diagnostic Center, Opp. G.G.S. Medical College, OPD Gate, Sadiq Road, Faridkot","A-One Diagnostic Center, Opp. G.G.S. Medical College, OPD Gate, Sadiq Road, Faridkot Faridkot Punjab",NA,2021-2014,Empaneled
A. C. Hospitals Madras Pvt. Ltd.,"NO.8, 3RD MAIN ROAD , UNITED INDIA NAGAR, AYANAVARAM, CHENNAI-600023, Chennai, Tamil Nadu, 600023",+91 94457 02220,PESHCO-2024-10017,Certified
A.D.Vaishanav Smriti Chikitsalaya Bhatgaon,"Salonikala Road, Bhatgaon Block Bilaigarh Dist.- Sarangarh-Bilaigarh CG, Baloda Bazar, Chhattisgarh, 493222",NA,PESHCO-2025-11150,Certified
A.G. Nursing Home,A.G. Nursing Home Jorhat Assam,+91 81349 81795,PEH-2023-2369,Certified
"A.J. Hospital & Research Centre,","NH 66 Kuntikana Mangalore Dakshina Kannada Karnataka, Mangalore, Karnataka, 575004",Visit Website +91 824 222 5533,H-2013-0168,Accredited
A.K Hospital,"115,MALVIYA NAGAR ,NEW MARKET,BHOPAL , Bhopal, Madhya Pradesh, 462003",NA,PEH-2025-3084,Certified
A.K. Multispeciality Hospital,"VISHWAKARMA CHOCK , NEAR SARDAR NAGAR KHAND , Panchmahal, Gujarat, 389001",NA,PESHCO-2025-11517,Certified
A.M. Hospital,"A.M HOSPITAL KARUNAGAPPALLY NH 66 , Kollam, Kerala, 690518",NA,PEH-2025-2903,Certified
A.M.Shaikh Homeopathic Medical College & Hospital,"NEHRU NAGAR, NEHRU NAGAR, BELAGAVI, BELAGAVI, Karnataka, India, 590010",Visit Website +91 831 247 3253,AH-2023-0204,Accredited
A.P. Super Speciality Dental Hospital,A.P. Super Speciality Dental Hospital Hyderabad Telangana,NA,D-2026-0611,Accredited
A.S.Imaging Centre Private Limited,"27 E,PATTU NOOLKARA THERU,ARIYALUR, Ariyalur, Tamil Nadu, 621704",NA,PEH-2025-3049,Certified
A.V. Multispeciality Hospital,"#781,782, 100 FEET RING ROAD, HOSKEREHALLI, BANASHANKARI 3RD STAGE, BANGALORE - 85 , Bangalore, Karnataka, 560085",NA,PESHCO-2024-9269,Certified
A.V.M.Hospital,"135,PALAYAMKOTTAI ROAD,, THOOTHUKUDI, THOOTHUKUDI, THOOTHUKUDI, Tamil Nadu, India, 628003",Visit Website +91 1800 425 0056,PEH-2020-1254,Certified
"A1 Hospitals 13-2-1, Beside NTR Blood Bank, Kothapeta, Guntur - 522001","A1 Hospitals 13-2-1, Beside NTR Blood Bank, Kothapeta, Guntur - 522001 Guntur Andhra Pradesh",Visit Website +91 863 222 5751,2019-1536,Empaneled
A1 Laparoscopy Hospital,"D.No: 14-25-11/3, Z.P Road, Maharanipeta, Visakhapatnam, AP-530002., Visakhapatnam, Andhra Pradesh, 530002",Visit Website +91 78292 22111,PESHCO-2024-9674,Certified
A1 Superspeciality Healthcare,"KESHVA 1 , JAYA NAGAR , NEAR ANAND NAGAR METRO STN DAHISAR EAST, Mumbai Suburban, Maharashtra, 400068",NA,PESHCO-2025-10786,Certified
Aabhar Multispeciality Hospital,"DELHI ROAD,HANSI 125033, Hansi, Haryana, 125001",+91 90530 10444,PESHCO-2024-9601,Certified
Aadhaar Hospital Multispeciality Unit,"PLOT NO.32 RADHAKRISHNA COLONY KAROND BYPASS BHOPAL, Bhopal, Madhya Pradesh, 462038",+91 91748 84422,PEH-2025-2855,Certified
Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited),"Tosham Road, Southern Bypass Crossing, Hisar, Haryana, 125005",Visit Website,H-2018-0555,Accredited
Aadhar Health Institute (A Unit Of Vlcom Healthcare Private Limited),"Tosham Road , Southern By Pass Crossing , Hisar, Hisar, Haryana, India, 125005",Visit Website,N-2023-0187,Certified
"Aadhar Health Institute, Tosham Road","Aadhar Health Institute, Tosham Road Hisar Haryana",Visit Website +91 90349 51525,2016-0764,Empaneled
Aadhar Hospital,"KHASRA NO.552, VILLAGE KHANDSA NEAR GRAMIN BANK GURUGRAM, Gurgaon, Haryana, 122001",NA,PESHCO-2025-11413,Certified
